scheduler,workload,placement_mode,placement_objective,job_id,model,ranks,trace_start_s,sim_start_s,sim_finish_s,jct_s,comm_s,compute_s,tensor_gib,intensity,placement
random_intensity,trace,optimize,balanced,0,unknown-mid,8,0.000000,0.000000,48.151127,48.151127,27.430221,4.518963,4.053357,963110107.009765,0:0;0:3;1:2;2:1;3:0;3:3;4:2;5:1
random_intensity,trace,optimize,balanced,1,unknown-large,8,0.000000,0.000000,89.914352,89.914352,50.966695,10.924943,7.657949,752650162.784280,1:3;2:2;3:1;4:0;4:3;5:2;6:1;7:0
random_intensity,trace,optimize,balanced,2,unknown-large,8,0.000000,0.000000,94.997117,94.997117,61.348143,10.423079,7.892551,813057457.086627,3:2;4:1;5:0;5:3;6:2;7:1;0:0;0:3
random_intensity,trace,optimize,balanced,3,unknown-8gpu,8,0.000000,0.000000,35.445466,35.445466,24.274754,2.867400,2.401785,899385159.641431,5:1;6:0;6:3;7:2;0:1;1:0;1:3;2:2
random_intensity,trace,optimize,balanced,4,GPT-large,8,0.000000,0.000000,94.034796,94.034796,60.588800,8.600072,9.933646,1240242078.788445,7:0;7:3;0:2;1:1;2:0;2:3;3:2;4:1
random_intensity,trace,optimize,balanced,5,unknown-small,2,0.000000,0.000000,22.411066,22.411066,0.922622,2.033594,0.959071,506391465.005062,0:3;1:2
random_intensity,trace,optimize,balanced,6,GPT,8,0.000000,0.000000,44.215472,44.215472,31.941739,2.419102,5.989574,2658530360.333287,2:2;3:1;4:0;4:3;5:2;6:1;7:0;7:3
random_intensity,trace,optimize,balanced,7,GPT,8,0.000000,0.000000,45.202057,45.202057,35.530997,2.326554,5.639479,2602709615.968379,4:1;5:0;5:3;6:2;7:1;0:0;0:3;1:2
random_intensity,trace,optimize,balanced,8,unknown-8gpu,8,0.000000,0.000000,28.055795,28.055795,19.444731,2.111570,2.507450,1275048393.654390,6:0;6:3;7:2;0:1;1:0;1:3;2:2;3:1
random_intensity,trace,optimize,balanced,9,unknown-mid,8,0.000000,0.000000,54.562410,54.562410,33.010521,4.635467,4.156606,962820295.795298,7:3;0:2;1:1;2:0;2:3;3:2;4:1;5:0
random_intensity,trace,optimize,balanced,10,unknown-large,8,0.000000,0.000000,61.845410,61.845410,24.839810,9.322558,7.637266,879635388.185644,1:2;2:1;3:0;3:3;4:2;5:1;6:0;6:3
random_intensity,trace,optimize,balanced,11,unknown-8gpu,8,0.000000,0.000000,15.294045,15.294045,8.151690,0.932262,2.349506,2706066382.560851,3:1;4:0;4:3;5:2;6:1;7:0;7:3;0:2
crux_no_compress,trace,optimize,balanced,0,unknown-mid,8,0.000000,0.000000,49.161088,49.161088,22.174668,4.518963,4.053357,963110107.009765,6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3
crux_no_compress,trace,optimize,balanced,1,unknown-large,8,0.000000,0.000000,83.170629,83.170629,41.011895,10.924943,7.657949,752650162.784280,6:1;7:1;4:0;5:0;2:2;3:2;0:0;1:0
crux_no_compress,trace,optimize,balanced,2,unknown-large,8,0.000000,0.000000,80.426659,80.426659,40.625836,10.423079,7.892551,813057457.086627,6:0;7:0;4:2;5:2;2:1;3:1;0:1;1:1
crux_no_compress,trace,optimize,balanced,3,unknown-8gpu,8,0.000000,0.000000,29.376285,29.376285,12.917447,2.867400,2.401785,899385159.641431,2:1;3:1;0:1;1:1;4:2;5:2;2:2;3:2
crux_no_compress,trace,optimize,balanced,4,GPT-large,8,0.000000,0.000000,71.230833,71.230833,32.169551,8.600072,9.933646,1240242078.788445,6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3
crux_no_compress,trace,optimize,balanced,5,unknown-small,2,0.000000,0.000000,22.093563,22.093563,0.535693,2.033594,0.959071,506391465.005062,6:2;7:2
crux_no_compress,trace,optimize,balanced,6,GPT,8,0.000000,0.000000,31.868977,31.868977,22.192569,2.419102,5.989574,2658530360.333287,2:0;2:1;2:2;2:3;3:0;3:1;3:2;3:3
crux_no_compress,trace,optimize,balanced,7,GPT,8,0.000000,0.000000,32.160348,32.160348,21.407215,2.326554,5.639479,2602709615.968379,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3
crux_no_compress,trace,optimize,balanced,8,unknown-8gpu,8,0.000000,0.000000,29.344046,29.344046,14.394591,2.111570,2.507450,1275048393.654390,6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3
crux_no_compress,trace,optimize,balanced,9,unknown-mid,8,0.000000,0.000000,42.888323,42.888323,26.491164,4.635467,4.156606,962820295.795298,4:0;5:0;2:0;3:0;0:0;1:0;4:1;5:1
crux_no_compress,trace,optimize,balanced,10,unknown-large,8,0.000000,0.000000,57.025969,57.025969,26.261509,9.322558,7.637266,879635388.185644,0:2;1:2;4:3;5:3;2:3;3:3;0:3;1:3
crux_no_compress,trace,optimize,balanced,11,unknown-8gpu,8,0.000000,0.000000,10.894196,10.894196,5.300624,0.932262,2.349506,2706066382.560851,0:0;0:1;0:2;0:3;1:0;1:1;1:2;1:3
crux,trace,optimize,balanced,0,unknown-mid,8,0.000000,0.000000,52.045288,52.045288,25.015430,4.518963,4.053357,963110107.009765,6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3
crux,trace,optimize,balanced,1,unknown-large,8,0.000000,0.000000,83.984699,83.984699,41.581251,10.924943,7.657949,752650162.784280,6:1;7:1;4:0;5:0;2:2;3:2;0:0;1:0
crux,trace,optimize,balanced,2,unknown-large,8,0.000000,0.000000,82.312879,82.312879,42.512056,10.423079,7.892551,813057457.086627,6:0;7:0;4:2;5:2;2:1;3:1;0:1;1:1
crux,trace,optimize,balanced,3,unknown-8gpu,8,0.000000,0.000000,28.475161,28.475161,12.121450,2.867400,2.401785,899385159.641431,2:1;3:1;0:1;1:1;4:2;5:2;2:2;3:2
crux,trace,optimize,balanced,4,GPT-large,8,0.000000,0.000000,71.600667,71.600667,32.539385,8.600072,9.933646,1240242078.788445,6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3
crux,trace,optimize,balanced,5,unknown-small,2,0.000000,0.000000,22.111861,22.111861,0.623026,2.033594,0.959071,506391465.005062,6:2;7:2
crux,trace,optimize,balanced,6,GPT,8,0.000000,0.000000,31.482736,31.482736,21.806328,2.419102,5.989574,2658530360.333287,2:0;2:1;2:2;2:3;3:0;3:1;3:2;3:3
crux,trace,optimize,balanced,7,GPT,8,0.000000,0.000000,31.972531,31.972531,22.085262,2.326554,5.639479,2602709615.968379,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3
crux,trace,optimize,balanced,8,unknown-8gpu,8,0.000000,0.000000,29.353116,29.353116,14.360224,2.111570,2.507450,1275048393.654390,6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3
crux,trace,optimize,balanced,9,unknown-mid,8,0.000000,0.000000,42.267982,42.267982,25.922613,4.635467,4.156606,962820295.795298,4:0;5:0;2:0;3:0;0:0;1:0;4:1;5:1
crux,trace,optimize,balanced,10,unknown-large,8,0.000000,0.000000,54.143282,54.143282,23.378822,9.322558,7.637266,879635388.185644,0:2;1:2;4:3;5:3;2:3;3:3;0:3;1:3
crux,trace,optimize,balanced,11,unknown-8gpu,8,0.000000,0.000000,11.135866,11.135866,5.542294,0.932262,2.349506,2706066382.560851,0:0;0:1;0:2;0:3;1:0;1:1;1:2;1:3
