scheduler,topology,comm_plan,workload,placement_mode,placement_objective,job_id,model,ranks,trace_start_s,sim_start_s,sim_finish_s,jct_s,comm_s,compute_s,tensor_gib,intensity,placement
random_intensity,three_tier_clos,ring,synthetic,optimize,balanced,3,synthetic,8,0.000000,0.000000,88.877149,88.877149,87.381731,0.299084,9.096861,32658700195.001358,5:1;6:0;6:3;7:2;0:1;1:0;1:3;2:2
random_intensity,three_tier_clos,ring,synthetic,optimize,balanced,4,synthetic,8,0.000000,0.000000,92.251991,92.251991,91.117990,0.283500,9.638824,36506519330.634674,7:0;7:3;0:2;1:1;2:0;2:3;3:2;4:1
random_intensity,three_tier_clos,ring,synthetic,optimize,balanced,5,synthetic,8,0.000000,0.000000,17.140672,17.140672,11.500098,1.658161,0.797007,516101780.945749,0:3;1:2;2:1;3:0;3:3;4:2;5:1;6:0
random_intensity,three_tier_clos,ring,synthetic,optimize,balanced,6,synthetic,8,0.000000,0.000000,96.016549,96.016549,94.184313,0.366447,10.371652,30390390190.311924,2:2;3:1;4:0;4:3;5:2;6:1;7:0;7:3
random_intensity,three_tier_clos,ring,synthetic,optimize,balanced,7,synthetic,8,0.000000,0.000000,96.373573,96.373573,94.277116,0.427910,10.470158,26272467870.272526,4:1;5:0;5:3;6:2;7:1;0:0;0:3;1:2
random_intensity,three_tier_clos,ring,synthetic,optimize,balanced,8,synthetic,8,0.000000,0.000000,24.174205,24.174205,19.670533,1.292181,1.515434,1259254399.633792,6:0;6:3;7:2;0:1;1:0;1:3;2:2;3:1
random_intensity,three_tier_clos,ring,synthetic,optimize,balanced,9,synthetic,8,0.000000,0.000000,96.860858,96.860858,95.563850,0.337768,10.753814,34185608902.838707,7:3;0:2;1:1;2:0;2:3;3:2;4:1;5:0
random_intensity,three_tier_clos,ring,synthetic,optimize,balanced,10,synthetic,8,0.000000,0.000000,97.486651,97.486651,95.812330,0.336077,11.256473,35963653528.793274,1:2;2:1;3:0;3:3;4:2;5:1;6:0;6:3
random_intensity,three_tier_clos,ring,synthetic,optimize,balanced,11,synthetic,8,0.000000,0.000000,21.979675,21.979675,17.602507,1.171837,1.348916,1235997695.369468,3:1;4:0;4:3;5:2;6:1;7:0;7:3;0:2
crux_no_compress,three_tier_clos,ring,synthetic,optimize,balanced,0,synthetic,8,0.000000,0.000000,53.522202,53.522202,52.202144,0.330015,8.594861,27964405134.098450,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3
crux_no_compress,three_tier_clos,ring,synthetic,optimize,balanced,1,synthetic,8,0.000000,0.000000,63.114547,63.114547,60.850210,0.495209,9.277925,20116950358.263126,2:2;3:2;0:2;1:2;2:3;3:3;0:3;1:3
crux_no_compress,three_tier_clos,ring,synthetic,optimize,balanced,2,synthetic,8,0.000000,0.000000,15.120328,15.120328,9.334915,1.265609,0.716645,608001173.609735,0:1;1:1;2:2;3:2;0:3;1:3;2:3;3:3
